Metric ID¬Display name¬Indicator / Metric¬Business definition¬Rationale¬Numerator¬Denominator¬Technical specification¬Numerator source¬Numerator source address¬Numerator lowest level of granularity of data¬Numerator frequency of data¬Numerator timeliness of data¬Numerator refresh mechanism¬Denominator source¬Denominator source address¬Denominator lowest level of granularity of data¬Denominator frequency of data¬Denominator timeliness of data¬Denominator refresh mechanism¬Publication Status¬Calculation of metric¬Desired direction¬Report1¬Organisation owner¬Team lead¬Metric lead¬Comments¬Duplicate¬Progress¬Topic¬Report¬Strategic Origin¬Inidcator Type¬Organisation Type
21¬Total A&E attendances current year activity rate by CCG per 100,000 population¬Total A&E attendances most recent 12 months rolling rate per 100,000 population by CCG¬Total Accident and Emergency (A&E) attendances most recent 12 months rolling rate per 100,000 needs weighted population by Clinical Commissioning Group (CCG)¬"Total A&E attendances are reported to give a full picture of emergency care activity in the CCG, planned attendances are excluded as these are not considered to be emergency care.

The rate per weighted population is adjusted for need, as otherwise high-need CCGs would show high utilisation as a result of their population base rather than policy and operational factors.

Standardisation by age and sex is not a practical option because numbers required to adjust denominators to take account of data quality are not available by age and sex.  Standardisation by age and sex is also an unrealistic approach due to challenges of extracting and processing required information on a timely, monthly basis. "¬Total A&E attendances latest 12 months¬Adjusted needs weighted population¬"Total A&E attendances are based on 365 calendar days, irrespective of leap or non-leap year periods.  This ensures that the comparison between the periods is fair and on the same basis, regardless of the number of working or calendar days in two 12 month periods.

Populations are General and Acute weighted populations including 10% unmet need (Standardised Mortality Ratio <75) adjustment, but excluding the market forces factor adjustment.

SQL code is available for users of the National Commissioning Data Repository (NCDR):
Activity count = NCDR NHSE_Sandbox_Operations - variable AE_All_yr_2 from  SP_CCG_benchmarking stored procedure"¬Secondary Uses Service (SUS) via the NCDR¬N/A¬CCG¬Monthly¬N/A¬Net¬ONS projected resident populations¬"https://www.england.nhs.uk/2016/04/allocations-tech-guide-16-17/

Spreadsheet files, J - Overall weighted populations CCGs [latest year], CCG weighted populations

Last accessed 4 April 2019"¬CCG¬Annual¬Year in advance¬Net¬Not in publication¬Total A&E attendances latest 12 months divided by the total needs-weighted population of segmented area, multiplied by 100,000¬0¬¬NHSE/I¬OIC activity¬Tom Mason and Matt Whitston¬Note that population is related to time period reported; the year of population selected is the one in which the majority of the activity occurs.¬¬¬Accident and Emergency;Attendances¬CCG and Activity Benchmarking Tool¬0¬Outcome¬Clinical Commissioning Groups
22¬Total A&E attendances prior year activity rate by CCG per 100,000 population¬Total A&E attendance rate per 100,000 population, 12 months prior to current 12 months rolling period, by CCG¬Total Accident and Emergency (A&E) attendances previous 12 months rolling rate per 100,000 needs weighted population by Clinical Commissioning Group (CCG)¬"Total A&E attendances are reported to give a full picture of emergency care activity in the CCG, planned attendances are excluded as these are not considered to be emergency care.

The rate per weighted population is adjusted for need, as otherwise high-need CCGs would show high utilisation as a result of their population base rather than policy and operational factors.

Standardisation by age and sex is not a practical option because numbers required to adjust denominators to take account of data quality are not available by age and sex.  Standardisation by age and sex is also an unrealistic approach due to challenges of extracting and processing required information on a timely, monthly basis. "¬Total A&E attendances previous 12 months¬Adjusted needs weighted population¬"Total A&E attendances are based on 365 calendar days, irrespective of leap or non-leap year periods.  This ensures that the comparison between the periods is fair and on the same basis, regardless of the number of working or calendar days in two 12 month periods.

Populations are General and Acute weighted populations including 10% unmet need (Standardised Mortality Ratio <75) adjustment, but excluding the market forces factor adjustment.

SQL code is available for users of the National Commissioning Data Repository (NCDR):
Activity count = NCDR NHSE_Sandbox_Operations - variable AE_All_yr_1 from  SP_CCG_benchmarking stored procedure"¬Secondary Uses Service (SUS) via the NCDR¬N/A¬CCG¬Monthly¬N/A¬Net¬ONS projected resident populations¬"https://www.england.nhs.uk/2016/04/allocations-tech-guide-16-17/

Spreadsheet files, J - Overall weighted populations CCGs [latest year], CCG weighted populations

Last accessed 4 April 2019"¬CCG¬Annual¬Year in advance¬Net¬Not in publication¬Total A&E attendances previous 12 months divided by the total needs-weighted population of segmented area, multiplied by 100,000¬0¬¬NHSE/I¬OIC activity¬Tom Mason and Matt Whitston¬Note that population is related to time period reported; the year of population selected is the one in which the majority of the activity occurs.¬¬¬Accident and Emergency;Attendances¬CCG and Activity Benchmarking Tool¬0¬Outcome¬Clinical Commissioning Groups
23¬Total A&E attendances change in rate compared to previous 12 months by CCG (%)¬Percentage change in the rate of total A&E attendances most recent 12 months rolling period versus 12 months prior to current rolling period by CCG¬All Accident and Emergency (A&E) change in rate of attendance¬Total A&E attendances are reported to give a full picture of emergency care activity in the Clinical Commissioning Groups (CCG).¬Difference between total A&E attendances latest 12 months and total A&E attendances previous 12 months¬Total A&E attendances previous 12 months¬"Total A&E attendances are based on 365 calendar days, irrespective of leap or non-leap year periods.  This ensures that the comparison between the periods is fair and on the same basis, regardless of the number of working or calendar days in two 12 month periods.

Planned follow-up attendances are excluded as these are not considered to be emergency care."¬Secondary Uses Service (SUS) via the National Commissioning Data Repository (NCDR)¬N/A¬CCG¬Monthly¬Month in lieu¬Net¬Strategic Data Collection Service (SDCS) via National Commissioning Data Repository (NCDR)¬N/A¬CCG¬Monthly¬Month in lieu¬Net¬Not in publication¬Difference between total A&E attendances latest 12 months and total A&E attendances previous 12 months divided by total A&E attendances previous 12 months, expressed as a percentage.¬0¬¬NHSE/I¬OIC activity¬Tom Mason and Matt Whitston¬-¬¬¬Accident and Emergency;Attendances;Change Metrics;Variance to Plan¬CCG and Activity Benchmarking Tool¬0¬Outcome¬Clinical Commissioning Groups
24¬A&E savings potential difference between activity rate and closest 10 CCGs, by CCG¬Total A&E attendances savings potential¬All Accident and Emergency (A&E) attendances potential savings by reducing activity levels to those seen in peer Clinical Commissioning Groups (CCGs).¬Total A&E attendances are reported to give a full picture of emergency care activity in the CCG, planned attendances are excluded as these are not considered to be emergency care.¬Difference between the CCG rate for total A&E attendances and the average for the 'closest 10' CCGs or the average of the five lowest rates amongst the 'closest 10' CCGs, multiplied by average unit price¬N/A¬"The 'savings potential' for each measure represents the difference between the activity rate for the selected CCG and the closest (most similar) 10 CCGs (excluding specialised commissioning), multiplied by the CCG population and the average unit price for the selected CCG for the relevant financial year. A range is offered: the lower figure is based on the average for all of the closest 10 CCGs; the upper figure is based on the average for the five of the closest 10 CCGs with the lowest rates.

